,Datetime,Open,High,Low,Close,Volume
0,2024-02-07 09:15:00,655.05,669.0,655.0,668.1,5235306
1,2024-02-07 09:30:00,668.05,670.3,665.25,665.85,3709916
2,2024-02-07 09:45:00,665.85,668.35,664.75,667.2,2162325
3,2024-02-07 10:00:00,666.9,668.35,665.2,667.9,1016232
4,2024-02-07 10:15:00,668.0,671.0,667.5,670.35,2743280
5,2024-02-07 10:30:00,670.35,670.8,666.9,667.75,1526978
6,2024-02-07 10:45:00,667.9,670.0,667.55,668.6,1302340
7,2024-02-07 11:00:00,668.6,669.7,667.25,669.6,772238
8,2024-02-07 11:15:00,669.5,669.75,667.35,668.5,714134
9,2024-02-07 11:30:00,668.6,668.6,664.55,666.55,1661077
10,2024-02-07 11:45:00,666.7,667.95,665.55,666.8,854368
11,2024-02-07 12:00:00,666.95,670.3,666.75,668.9,1596656
12,2024-02-07 12:15:00,668.9,672.6,668.8,671.0,1937942
13,2024-02-07 12:30:00,671.0,672.7,670.55,671.7,1284379
14,2024-02-07 12:45:00,671.7,673.0,671.0,673.0,1198947
15,2024-02-07 13:00:00,672.95,674.6,672.45,672.5,1059287
16,2024-02-07 13:15:00,672.7,673.85,672.15,672.55,744217
17,2024-02-07 13:30:00,672.5,675.0,671.9,673.75,1316366
18,2024-02-07 13:45:00,673.85,674.0,672.55,672.9,614271
19,2024-02-07 14:00:00,672.95,673.5,672.1,672.4,485175
20,2024-02-07 14:15:00,672.45,673.15,670.6,671.45,1629962
21,2024-02-07 14:30:00,671.75,672.7,671.2,672.7,1128544
22,2024-02-07 14:45:00,672.7,674.5,672.45,673.85,1490692
23,2024-02-07 15:00:00,673.8,674.9,673.3,674.6,2035163
24,2024-02-07 15:15:00,674.85,677.95,674.5,677.5,3468662
25,2024-02-08 09:15:00,680.4,684.9,678.5,684.9,3792232
26,2024-02-08 09:30:00,684.8,686.45,682.5,685.95,2685546
27,2024-02-08 09:45:00,685.9,692.0,685.0,691.05,3098589
28,2024-02-08 10:00:00,691.05,695.45,689.25,694.7,6377729
29,2024-02-08 10:15:00,694.85,700.25,690.45,697.35,5222164
30,2024-02-08 10:30:00,697.6,706.2,697.15,703.15,6670056
31,2024-02-08 10:45:00,703.15,718.9,702.85,704.05,10285739
32,2024-02-08 11:00:00,704.05,704.5,696.2,701.6,5489323
33,2024-02-08 11:15:00,701.3,703.5,699.0,703.15,2266942
34,2024-02-08 11:30:00,702.8,703.4,699.4,701.2,1782715
35,2024-02-08 11:45:00,701.2,706.65,700.0,704.5,2017862
36,2024-02-08 12:00:00,704.55,705.45,704.0,704.8,1031350
37,2024-02-08 12:15:00,704.8,705.0,701.0,702.9,1148016
38,2024-02-08 12:30:00,702.9,705.0,702.15,704.15,867465
39,2024-02-08 12:45:00,704.15,704.2,702.0,703.25,658183
40,2024-02-08 13:00:00,703.25,705.2,702.1,704.5,749746
41,2024-02-08 13:15:00,704.5,710.85,704.0,710.4,1914910
42,2024-02-08 13:30:00,710.3,712.0,708.2,709.25,1879190
43,2024-02-08 13:45:00,709.5,714.2,709.25,713.65,3224420
44,2024-02-08 14:00:00,713.6,715.3,710.15,710.55,1808663
45,2024-02-08 14:15:00,710.55,710.7,704.75,705.65,2041183
46,2024-02-08 14:30:00,705.5,706.4,701.5,703.35,1579492
47,2024-02-08 14:45:00,703.25,704.0,698.65,699.3,2020635
48,2024-02-08 15:00:00,699.25,703.25,698.0,698.25,3057387
49,2024-02-08 15:15:00,698.3,700.35,697.9,699.9,2541575
