,Symbol,Side,Status,BuyID,Quantity,BuyPrice,BuyDatetime,SellDatetime,PendingQuantity,AverageSellPrice,PnL,SLValue,TargetValue,ExitReason,StategyName,SellPrice
0,NIFTY50,CE,Done,1711039019,1,22124.1,2024-03-13 12:55:00,2024-03-13 13:15:00,0,0,-30.44999999999709,22104.1,22164.1,SL Hit,Mark1,22093.65
1,NIFTY50,CE,Done,1711039020,1,22087.35,2024-03-13 13:30:00,2024-03-13 13:40:00,0,0,-20.299999999999272,22067.35,22127.35,SL Hit,Mark1,22067.05
2,NIFTY50,CE,Done,1711039021,1,22009.1,2024-03-13 15:00:00,2024-03-13 15:10:00,0,0,-39.25,21989.85,21929.85,SL Hit,Mark1,21969.85
3,NIFTY50,PE,Done,1711039022,1,21969.85,2024-03-13 15:10:00,2024-03-13 15:15:00,0,0,-21.75,21989.85,21929.85,SL Hit,Mark1,21991.6
4,NIFTY50,PE,Done,1711039023,1,21992.9,2024-03-14 09:40:00,2024-03-14 09:55:00,0,0,-26.94999999999709,22012.9,21952.9,SL Hit,Mark1,22019.85
5,NIFTY50,PE,Done,1711039024,1,22010.75,2024-03-14 10:10:00,2024-03-14 10:20:00,0,0,-21.099999999998545,22030.75,21970.75,SL Hit,Mark1,22031.85
6,NIFTY50,PE,Done,1711039025,1,22047.4,2024-03-14 10:30:00,2024-03-14 10:40:00,0,0,-23.649999999997817,22067.4,22007.4,SL Hit,Mark1,22071.05
7,NIFTY50,PE,Done,1711039026,1,22143.1,2024-03-14 12:40:00,2024-03-14 13:00:00,0,0,-31.30000000000291,22163.1,22103.1,SL Hit,Mark1,22174.4
8,NIFTY50,PE,Done,1711039027,1,22149.45,2024-03-14 13:30:00,2024-03-14 13:55:00,0,0,43.29999999999927,22169.45,22109.45,Target Hit,Mark1,22106.15
9,NIFTY50,CE,Done,1711039028,1,22134.35,2024-03-14 14:20:00,2024-03-14 14:40:00,0,0,-22.399999999997817,22114.35,22174.35,SL Hit,Mark1,22111.95
10,NIFTY50,CE,Done,1711039029,1,22126.85,2024-03-14 14:55:00,2024-03-15 09:15:00,0,0,-36.39999999999782,22173.05,22113.05,SL Hit,Mark1,22090.45
11,NIFTY50,PE,Done,1711039030,1,22153.05,2024-03-14 15:25:00,2024-03-15 09:20:00,0,0,46.75,22173.05,22113.05,Target Hit,Mark1,22106.3
12,NIFTY50,CE,Done,1711039031,1,22072.8,2024-03-15 09:30:00,2024-03-15 09:35:00,0,0,-42.25,22052.8,22112.8,SL Hit,Mark1,22030.55
13,NIFTY50,CE,Done,1711039032,1,21969.0,2024-03-15 11:40:00,2024-03-15 11:55:00,0,0,-21.349999999998545,21949.0,22009.0,SL Hit,Mark1,21947.65
14,NIFTY50,CE,Done,1711039033,1,21952.25,2024-03-15 12:15:00,2024-03-15 13:10:00,0,0,41.79999999999927,21933.05,21993.05,Target Hit,Mark1,21994.05
15,NIFTY50,CE,Done,1711039034,1,21953.05,2024-03-15 12:40:00,2024-03-15 13:30:00,0,0,46.20000000000073,22019.25,21959.25,Target Hit,Mark1,21999.25
16,NIFTY50,PE,Done,1711039035,1,21999.25,2024-03-15 13:30:00,2024-03-15 13:45:00,0,0,-28.200000000000728,22019.25,21959.25,SL Hit,Mark1,22027.45
17,NIFTY50,PE,Done,1711039036,1,22007.2,2024-03-15 13:55:00,2024-03-15 14:05:00,0,0,-20.450000000000728,22027.2,21967.2,SL Hit,Mark1,22027.65
18,NIFTY50,PE,Done,1711039037,1,21997.75,2024-03-15 14:15:00,2024-03-15 14:45:00,0,0,-23.549999999999272,21990.05,22050.05,SL Hit,Mark1,22021.3
19,NIFTY50,CE,Done,1711039038,1,22010.05,2024-03-15 14:35:00,2024-03-18 09:30:00,0,0,-42.75,22016.35,21956.35,SL Hit,Mark1,21967.3
20,NIFTY50,PE,Done,1711039039,1,22040.35,2024-03-15 15:00:00,2024-03-15 15:25:00,0,0,44.0,22016.35,21956.35,Target Hit,Mark1,21996.35
21,NIFTY50,PE,Done,1711039040,1,21996.35,2024-03-15 15:25:00,2024-03-18 09:25:00,0,0,-35.30000000000291,22016.35,21956.35,SL Hit,Mark1,22031.65
22,NIFTY50,CE,Done,1711039041,1,22013.7,2024-03-18 09:55:00,2024-03-18 10:05:00,0,0,-38.0,21993.7,22053.7,SL Hit,Mark1,21975.7
23,NIFTY50,CE,Done,1711039042,1,22025.5,2024-03-18 10:15:00,2024-03-18 10:35:00,0,0,-31.299999999999272,22014.2,21954.2,SL Hit,Mark1,21994.2
24,NIFTY50,PE,Done,1711039043,1,21994.2,2024-03-18 10:35:00,2024-03-18 11:10:00,0,0,44.5,22014.2,21954.2,Target Hit,Mark1,21949.7
25,NIFTY50,CE,Done,1711039044,1,21980.6,2024-03-18 11:35:00,2024-03-18 12:00:00,0,0,48.45000000000073,22006.45,21946.45,Target Hit,Mark1,22029.05
26,NIFTY50,PE,Done,1711039045,1,21986.45,2024-03-18 11:55:00,2024-03-18 12:05:00,0,0,-50.5,22006.45,21946.45,SL Hit,Mark1,22036.95
27,NIFTY50,PE,Done,1711039046,1,22068.35,2024-03-18 13:35:00,2024-03-18 14:20:00,0,0,-41.5,22094.3,22034.3,SL Hit,Mark1,22109.85
28,NIFTY50,PE,Done,1711039047,1,22074.3,2024-03-18 14:05:00,2024-03-18 14:25:00,0,0,-32.95000000000073,22094.3,22034.3,SL Hit,Mark1,22107.25
29,NIFTY50,PE,Done,1711039048,1,22090.9,2024-03-18 14:50:00,2024-03-18 15:15:00,0,0,40.30000000000291,22110.9,22050.9,Target Hit,Mark1,22050.6
30,NIFTY50,CE,Done,1711039049,1,21877.8,2024-03-19 11:15:00,2024-03-19 11:30:00,0,0,-25.200000000000728,21857.8,21917.8,SL Hit,Mark1,21852.6
31,NIFTY50,CE,Done,1711039050,1,21841.6,2024-03-19 12:15:00,2024-03-19 14:00:00,0,0,-23.799999999999272,21882.85,21822.85,SL Hit,Mark1,21817.8
32,NIFTY50,PE,Done,1711039051,1,21846.5,2024-03-19 12:40:00,2024-03-19 15:15:00,0,0,40.04999999999927,21804.75,21864.75,Target Hit,Mark1,21806.45
33,NIFTY50,PE,Done,1711039052,1,21846.2,2024-03-19 13:00:00,2024-03-19 13:05:00,0,0,-20.0,21866.2,21806.2,SL Hit,Mark1,21866.2
34,NIFTY50,PE,Done,1711039053,1,21851.1,2024-03-19 13:15:00,2024-03-19 14:15:00,0,0,43.14999999999782,21882.85,21822.85,Target Hit,Mark1,21807.95
35,NIFTY50,PE,Done,1711039054,1,21862.85,2024-03-19 13:50:00,2024-03-19 14:10:00,0,0,46.29999999999927,21882.85,21822.85,Target Hit,Mark1,21816.55
36,NIFTY50,CE,Done,1711039055,1,21824.75,2024-03-19 14:25:00,2024-03-20 09:15:00,0,0,58.099999999998545,21862.85,21922.85,Target Hit,Mark1,21882.85
37,NIFTY50,CE,Done,1711039056,1,21882.85,2024-03-20 09:15:00,2024-03-20 09:25:00,0,0,-26.25,21876.6,21816.6,SL Hit,Mark1,21856.6
38,NIFTY50,PE,Done,1711039057,1,21856.6,2024-03-20 09:25:00,2024-03-20 09:35:00,0,0,-20.30000000000291,21876.6,21816.6,SL Hit,Mark1,21876.9
39,NIFTY50,PE,Done,1711039058,1,21868.65,2024-03-20 09:45:00,2024-03-20 09:55:00,0,0,45.75,21888.65,21828.65,Target Hit,Mark1,21822.9
40,NIFTY50,CE,Done,1711039059,1,21785.35,2024-03-20 10:55:00,2024-03-20 11:20:00,0,0,-21.099999999998545,21801.4,21741.4,SL Hit,Mark1,21764.25
41,NIFTY50,PE,Done,1711039060,1,21781.4,2024-03-20 11:15:00,2024-03-20 11:40:00,0,0,-62.94999999999709,21801.4,21741.4,SL Hit,Mark1,21844.35
42,NIFTY50,PE,Done,1711039061,1,21879.55,2024-03-20 13:30:00,2024-03-20 14:30:00,0,0,55.79999999999927,21852.8,21912.8,Target Hit,Mark1,21823.75
43,NIFTY50,PE,Done,1711039062,1,21870.2,2024-03-20 13:45:00,2024-03-20 14:35:00,0,0,40.60000000000218,21852.8,21912.8,Target Hit,Mark1,21829.6
44,NIFTY50,CE,Done,1711039063,1,21872.8,2024-03-20 14:15:00,2024-03-20 14:20:00,0,0,-32.75,21852.8,21912.8,SL Hit,Mark1,21840.05
45,NIFTY50,CE,Done,1711039064,1,21842.6,2024-03-20 14:45:00,2024-03-21 09:15:00,0,0,162.25,21835.1,21895.1,Target Hit,Mark1,22004.85
46,NIFTY50,CE,Done,1711039065,1,21855.1,2024-03-20 15:15:00,2024-03-21 09:20:00,0,0,136.10000000000218,21835.1,21895.1,Target Hit,Mark1,21991.2
47,NIFTY50,PE,Done,1711039066,1,22055.85,2024-03-21 11:30:00,2024-03-21 11:50:00,0,0,43.39999999999782,22075.85,22015.85,Target Hit,Mark1,22012.45
48,NIFTY50,CE,Open,1711039067,1,21999.3,2024-03-21 12:35:00,[],1,0,0,21979.3,22039.3,Target Hit,Mark1,
49,NIFTY50,CE,Open,1711039068,1,22001.0,2024-03-21 12:55:00,[],1,0,0,21981.0,22041.0,Target Hit,Mark1,
50,NIFTY50,PE,Done,1711039069,1,22007.3,2024-03-21 13:05:00,2024-03-21 14:35:00,0,0,-20.200000000000728,21986.55,22046.55,SL Hit,Mark1,22027.5
51,NIFTY50,PE,Done,1711039070,1,21999.35,2024-03-21 13:45:00,2024-03-21 14:40:00,0,0,-28.5,21986.55,22046.55,SL Hit,Mark1,22027.85
52,NIFTY50,CE,Open,1711039071,1,22006.55,2024-03-21 14:00:00,[],1,0,0,21986.55,22046.55,Target Hit,Mark1,
53,NIFTY50,PE,Open,1711039072,1,22014.05,2024-03-21 14:45:00,[],1,0,0,22034.05,21974.05,SL Hit,Mark1,
54,NIFTY50,CE,Open,1711039073,1,22016.3,2024-03-21 15:05:00,[],1,0,0,21996.3,22056.3,SL Hit,Mark1,
55,NIFTY50,PE,Open,1711039074,1,22019.8,2024-03-21 15:15:00,[],1,0,0,22039.8,21979.8,SL Hit,Mark1,
